GreenZoneArea,Arbor-Bush,Vertical,Roof,Arbor,Road,Bonsai,Category
27.79120605,1,0,0,0,0,0,1
54.59239746,1,0,0,0,1,1,3
38.49068603,1,0,0,1,1,1,4
22.20299072,1,0,0,1,1,1,4
42.43733398,1,1,0,1,1,0,4
15.20299438,1,1,0,0,1,1,4
32.64015137,1,1,0,1,0,0,3
27.60864746,1,0,0,1,1,0,3
41.45865234,1,1,0,0,0,0,2
59.62327637,1,1,0,0,1,1,4
29.44830078,0,1,0,1,0,0,2
3.585768128,1,0,1,1,1,1,5
27.56034424,1,1,0,1,1,0,4
23.54681641,1,1,0,0,0,0,2
22.6222168,0,1,1,0,1,0,3
4.355372925,1,1,0,1,1,0,4
26.51852783,1,1,1,0,1,0,4
18.87085815,1,0,0,0,0,0,1
29.38475586,1,1,0,1,0,0,3
9.736406251,0,0,0,1,0,1,2
19.45129883,1,1,0,1,0,0,3
10.48127808,1,0,1,0,1,0,3
28.32381592,1,0,0,0,0,0,1
7.026682739,0,1,0,1,1,0,3
4.513273621,0,0,1,0,1,0,2
12.54740112,1,0,0,1,1,0,3
21.76446533,1,0,0,1,1,0,3
7.566530762,0,0,1,0,0,1,2
8.330452881,1,0,0,0,0,0,1
36.54006348,0,0,0,1,1,0,2
16.72019653,0,0,0,1,0,0,1
10.18191467,0,0,0,0,0,0,0
27.35131104,0,0,0,1,0,0,1
12.44526855,0,0,0,1,0,0,1
18.17512695,0,0,0,0,0,0,0
20.66131104,0,0,1,1,0,0,2
9.227179565,0,0,1,1,0,1,3
4.066557617,1,0,1,1,0,1,4
2.645261841,0,0,1,1,1,1,4
16.22083252,0,0,1,0,0,0,1
14.94715942,1,0,0,1,0,1,3
4.556324158,0,0,0,1,1,1,3
13.10923828,0,0,0,0,1,1,2
15.6506897,0,0,1,1,1,1,4
10.86489868,0,0,1,1,0,0,2
16.30441772,0,0,1,0,0,0,1
16.65592651,0,0,1,1,0,0,2
12.63864868,0,0,0,0,0,1,1
12.43024048,0,0,0,0,0,0,0
9.293092651,0,0,0,0,0,0,0
3.618340454,0,0,0,0,0,0,0
13.64303101,0,0,1,0,0,0,1
12.76130859,0,0,1,0,1,1,3
11.32339477,0,0,0,0,1,1,2
9.752401123,0,0,0,0,1,0,1
8.514539184,0,0,0,0,1,1,2
14.83099487,0,0,0,1,1,0,2
7.183873901,0,0,0,1,1,1,3
9.678593139,0,0,0,1,1,0,2
11.49440918,0,0,1,1,1,0,3
9.286437378,0,0,1,1,1,1,4
24.17888916,0,0,1,0,0,0,1
16.94136841,0,0,1,1,1,1,4
8.042813111,0,0,1,1,0,0,2
24.51076416,1,0,0,0,1,1,3
